number,status,play number,score,year,topic
1,45,13.3y,7.9,2021,0
2,31,7339.1w,7.7,2021,0
3,48,4.0y,9.2,2021,0
4,36,19.2y,9.4,2021,0
5,34,1.8y,7.7,2021,0
6,32,4473.3w,7.6,2021,0
7,37,1.1y,7.6,2021,0
8,24,9211.1w,7.6,2021,0
9,35,7348.3w,7.5,2021,0
10,20,2216.3w,7.5,2021,0
11,23,4.9y,9.4,2021,0
12,40,8.1y,7.5,2021,0
13,36,6332.4w,7.5,2021,0
14,33,5478.2w,7.5,2021,0
15,31,8491.6w,7.5,2021,0
16,48,1.3y,7.5,2021,0
17,36,2370.3w,7.5,2021,0
18,40,2.2y,7.5,2021,0
19,35,4702.2w,7.5,2021,0
20,38,4991.9w,7.5,2021,0
21,40,5765.4w,7.5,2021,0
22,34,4770.2w,7.5,2021,0
23,31,2549.8w,7.4,2021,0
24,46,1.0y,7.4,2021,0
25,12,958.8w,7.4,2021,0
26,45,6707.0w,7.4,2021,0
27,6,2194.0w,7.5,2021,0
28,40,5426.2w,7.4,2021,0
29,30,909.4w,7.4,2021,0
30,12,188.5w,7.3,2021,0
31,39,10.7y,9.3,2020,0
32,32,3.0y,7.6,2020,0
33,46,2.8y,7.5,2020,0
34,30,1.5y,7.5,2020,0
35,20,6.8y,8.9,2020,0
36,42,6.9y,7.5,2020,0
37,14,3.6y,7.8,2020,0
38,34,7913.8w,7.5,2020,0
39,40,7.4y,7.5,2020,0
40,36,5330.2w,7.5,2020,0
41,45,1.0y,7.5,2020,0
42,42,1.9y,7.5,2020,0
43,36,6204.4w,7.5,2020,0
44,20,2563.1w,7.4,2020,0
45,34,7671.3w,7.5,2020,0
46,31,5736.8w,7.5,2020,0
47,42,4975.2w,7.5,2020,0
48,31,6601.1w,7.5,2020,0
49,34,3910.0w,7.4,2020,0
50,34,5784.7w,7.4,2020,0
51,43,3859.4w,7.4,2020,0
52,36,3186.4w,7.4,2020,0
53,30,2141.2w,7.4,2020,0
54,36,1.4y,7.4,2020,0
55,20,2565.0w,7.4,2020,0
56,8,230.9w,7.3,2020,0
57,48,2.2y,7.5,2019,0
58,42,2.1y,,2019,0
59,48,4.8y,8.8,2019,0
60,37,1.4y,8.6,2019,0
61,46,8.9y,8.4,2019,0
62,36,4.4y,,2019,0
63,36,3.4y,7.3,2019,0
64,39,1.7y,8.5,2019,0
65,42,1.5y,7.5,2019,0
66,54,14.7y,8.1,2019,0
67,40,1.8y,8.6,2019,0
68,49,5.4y,7.2,2019,0
69,28,8149.5w,,2019,0
70,33,1.0y,,2019,0
71,36,9843.7w,8.6,2019,0
72,36,1.1y,,2019,0
73,35,5872.9w,7.4,2019,0
74,30,6071.7w,,2019,0
75,30,4929.0w,,2019,0
76,32,4681.7w,7.3,2019,0
77,50,47.1y,7.2,2018,0
78,47,32.6y,9.2,2018,0
79,44,4.3y,8.3,2018,0
80,42,1.5y,8.8,2018,0
81,45,4.8y,8.2,2018,0
82,47,8481.3w,9.1,2018,0
83,36,3.0y,,2018,0
84,38,3.1y,7.4,2018,0
85,50,1.2y,7,2018,0
86,40,2.0y,,2018,0
87,38,7886.0w,7.4,2018,0
88,28,1.8y,7.4,2018,0
89,26,6517.1w,,2018,0
90,26,5282.2w,7.3,2018,0
91,34,6666.7w,7.3,2018,0
92,32,5678.7w,,2018,0
93,44,2216.4w,7.3,2018,0
94,20,5266.7w,7.3,2018,0
95,36,4226.8w,7.9,2018,0
96,55,15.9y,9,2017,0
97,33,4.6y,8.8,2017,0
98,30,3.6y,6.9,2017,0
99,34,1.6y,,2017,0
100,32,1.8y,7,2017,0
101,46,3.9y,,2017,0
102,32,1.7y,,2017,0
103,32,2.4y,,2017,0
104,32,1.1y,,2017,0
105,36,2.1y,7.4,2017,0
106,6,1263.1w,,2017,0
107,,93.8w,7.3,2017,0
108,,132.6w,7.2,2017,0
109,40,7362.3w,,2016,0
110,46,15.1y,,2015,0
111,32,1.3y,,2015,0
112,30,6167.4w,7.7,2021,1
113,30,1960.2w,7.6,2021,1
114,8,596.7w,7.4,2021,1
115,43,4.3y,7.6,2021,1
116,40,9.6y,7.6,2021,1
117,35,3.7y,7.5,2021,1
118,12,143.4w,7.2,2021,1
119,42,3.4y,7.5,2021,1
120,40,1.1y,7.5,2021,1
121,46,8.3y,7.6,2021,1
122,37,8730.2w,7.5,2021,1
123,42,4.9y,7.5,2020,1
124,46,19.0y,7.6,2020,1
125,12,143.5w,7.2,2020,1
126,41,4.0y,7.5,2020,1
127,43,76.0y,8.9,2020,1
128,42,2.7y,7.5,2020,1
129,12,186.0w,7.1,2020,1
130,24,4.9y,7.5,2020,1
131,12,6.2y,8.5,2020,1
132,2,317.6w,8.4,2020,1
133,22,7.5y,8.2,2020,1
134,44,14.0y,6.7,2020,1
135,36,6204.4w,7.5,2020,1
136,39,5969.8w,7.5,2020,1
137,53,80.5y,8.1,2020,1
138,42,8364.4w,7.5,2020,1
139,,300.1w,7.1,2020,1
140,,3724.5w,7.3,2020,1
141,,34.7w,7.1,2020,1
142,,186.9w,7,2020,1
143,,30.5w,7.2,2020,1
144,50,3.3y,7.6,2019,1
145,42,34.0y,7.6,2019,1
146,32,1.1y,8.1,2019,1
147,52,3.7y,7.5,2019,1
148,5,9677.7w,9.5,2019,1
149,40,2.1y,7.9,2019,1
150,26,6.0y,7.5,2019,1
151,35,1.2y,7.5,2019,1
152,45,2.1y,7.5,2019,1
153,42,2638.0w,7.6,2019,1
154,45,16.0y,7.8,2019,1
155,45,8.2y,8.4,2019,1
156,44,5425.8w,8.2,2019,1
157,49,46.8y,9.1,2019,1
158,46,27.7y,6.6,2019,1
159,41,28.1y,8.2,2019,1
160,40,5401.8w,8,2019,1
161,48,22.3y,7.1,2019,1
162,28,5204.2w,,2019,1
163,24,2.6y,7.4,2019,1
164,46,4167.2w,6.9,2019,1
165,43,22.3y,7.1,2019,1
166,30,13.7y,8.3,2019,1
167,46,75.5y,8.8,2019,1
168,55,11.8y,7.8,2019,1
169,40,1.2y,7.4,2019,1
170,43,28.3y,7.6,2019,1
171,36,3.3y,7.5,2019,1
172,50,3.5y,,2018,1
173,44,5.1y,,2018,1
174,45,2.9y,,2018,1
175,50,7.7y,,2018,1
176,39,8.8y,,2018,1
177,35,2.3y,,2018,1
178,39,2.3y,7.2,2018,1
179,40,5.4y,6.8,2018,1
180,36,5.5y,8,2018,1
181,36,4226.8w,7.9,2018,1
182,40,5.5y,8.3,2018,1
183,32,2.3y,8.9,2018,1
184,32,7432.4w,7.3,2018,1
185,48,22.6y,8.7,2018,1
186,54,35.9y,6.7,2018,1
187,32,1.9y,7.6,2018,1
188,20,1.6y,7.4,2018,1
189,47,7691.4w,8,2018,1
190,47,23.9y,8.1,2018,1
191,34,1.0y,8.1,2018,1
192,40,3733.1w,7.2,2018,1
193,40,10.2y,7.4,2018,1
194,40,4.1y,7.6,2018,1
195,50,36.1y,7.4,2018,1
196,25,32.6y,8.4,2018,1
197,40,24.4y,7.4,2018,1
198,40,4529.0w,7.3,2018,1
199,40,3.5y,7.3,2018,1
200,20,5.0y,7.5,2018,1
201,45,,,2018,1
202,55,1.5y,8.2,2018,1
203,,1.7y,,2018,1
204,40,5.5y,7.8,2017,1
205,40,12.9y,7.8,2017,1
206,20,2.2y,7.4,2017,1
207,49,12.1y,6.3,2017,1
208,45,4.4y,6.4,2017,1
209,40,2.2y,6.9,2017,1
210,56,13.4y,7.1,2017,1
211,55,8.6y,,2017,1
212,38,2.6y,,2017,1
213,35,5.0y,,2017,1
214,34,44.1y,7.5,2017,1
215,56,4.9y,6.5,2017,1
216,32,5943.9w,,2017,1
217,39,34.4y,,2017,1
218,42,5.4y,,2017,1
219,52,7.1y,7.5,2017,1
220,43,39.9y,,2017,1
221,45,1.5y,,2017,1
222,45,10.8y,7.3,2017,1
223,36,2.1y,7.4,2017,1
224,42,6.3y,,2017,1
225,46,4.5y,,2017,1
226,44,9.5y,,2017,1
227,46,6.6y,6.3,2017,1
228,40,8266.9w,8,2017,1
229,42,30.9y,7.1,2017,1
230,48,2.0y,,2017,1
231,43,1.7y,7,2017,1
232,52,1.0y,6.9,2017,1
233,48,14.8y,7.1,2017,1
234,38,26.2y,6.6,2017,1
235,20,4.9y,8,2017,1
236,42,82.2y,8,2017,1
237,36,7.2y,6.1,2017,1
238,,2.5y,7.3,2017,1
239,55,116.3y,7.6,2017,1
240,,1.4y,7.2,2017,1
241,44,39.2y,8.6,2017,1
242,37,2.1y,,2017,1
243,12,2257.4w,,2017,1
244,12,983.8w,7.1,2017,1
245,48,3.3y,,2017,1
246,56,2.0y,7,2017,1
247,7,2823.2w,9,2017,1
248,54,5.0y,,2017,1
249,46,42.0y,7.2,2017,1
250,42,3989.3w,7.4,2017,1
251,43,5.0y,,2017,1
252,47,26.5y,7.1,2017,1
253,,2476.2w,7.2,2017,1
254,,5334.2w,7.2,2017,1
255,48,1.9y,6,2016,1
256,42,1.3y,7.1,2016,1
257,43,9255.5w,,2016,1
258,44,4.8y,6.3,2016,1
259,48,7075.8w,,2016,1
260,40,2.0y,,2016,1
261,54,5.9y,6.8,2016,1
262,44,6.9y,,2016,1
263,44,3.8y,7.4,2016,1
264,42,4.6y,,2016,1
265,55,4.9y,,2016,1
266,15,1.1y,7.1,2016,1
267,38,3.5y,,2016,1
268,35,1.4y,7.2,2016,1
269,38,21.3y,7,2016,1
270,44,17.1y,7.9,2016,1
271,44,1.0y,7.7,2016,1
272,41,5.1y,8.4,2016,1
273,36,1.4y,7.4,2016,1
274,16,3185.6w,7.4,2016,1
275,19,1667.5w,7.2,2016,1
276,50,2.3y,7.5,2016,1
277,45,4.1y,,2016,1
278,13,2666.9w,,2016,1
279,30,5485.3w,7.3,2016,1
280,42,6.3y,7.5,2016,1
281,36,5.1y,7.4,2016,1
282,58,42.6y,7.5,2016,1
283,58,1.2y,7.3,2016,1
284,48,2.2y,7,2016,1
285,33,1.2y,,2016,1
286,44,2.1y,7.2,2016,1
287,61,9.7y,7.6,2016,1
288,30,1.0y,7.8,2016,1
289,38,8.2y,7.5,2016,1
290,16,8444.8w,9.4,2016,1
291,48,2.9y,6.6,2016,1
292,50,2.8y,6.6,2016,1
293,33,7006.4w,,2016,1
294,37,2.1y,6.7,2016,1
295,38,7.4y,7.6,2016,1
296,42,8.6y,8,2016,1
297,10,7135.1w,7.6,2016,1
298,36,9.9y,8.4,2016,1
299,12,5.7y,8.5,2016,1
300,42,1.8y,7.9,2016,1
301,16,4072.9w,9,2016,1
302,21,689.2w,7.2,2016,1
303,45,36.4y,8.7,2016,1
304,32,5698.7w,7.3,2016,1
305,41,24.8y,7.9,2016,1
306,40,4.0y,7.5,2016,1
307,45,4.0y,7.3,2016,1
308,42,70.3y,8.6,2016,1
309,42,2.7y,7.7,2016,1
310,42,6.9y,7.9,2016,1
311,28,2.5y,7.5,2016,1
312,40,2.1y,8.6,2016,1
313,71,15.5y,7.1,2016,1
314,69,5732.7w,6.8,2016,1
315,40,9623.6w,6.8,2016,1
316,36,14.0y,8.6,2016,1
317,36,2.2y,7.2,2016,1
318,35,6.8y,7.1,2015,1
319,35,7570.3w,8.1,2015,1
320,36,8139.8w,,2015,1
321,40,1.9y,,2015,1
322,5,568.7w,7.1,2015,1
323,40,1.9y,,2015,1
324,25,1664.6w,7.1,2015,1
325,40,2.4y,6.1,2015,1
326,28,7119.6w,7.3,2015,1
327,44,7.7y,8.2,2015,1
328,36,2.3y,7.5,2015,1
329,44,1.7y,6.9,2015,1
330,42,4.5y,6.9,2015,1
331,32,1.2y,7.8,2015,1
332,38,3.8y,,2015,1
333,37,2.7y,6.6,2015,1
334,35,6.6y,8.8,2015,1
335,32,3.5y,8.3,2015,1
336,40,8222.0w,7,2015,1
337,42,2.5y,6.7,2015,1
338,54,6.6y,,2015,1
339,13,30.3w,7.1,2015,1
340,44,27.1y,7.6,2015,1
341,10,2495.3w,7.1,2015,1
342,42,1.3y,7.4,2015,1
343,40,7.6y,7.8,2015,1
344,32,5.1y,7.6,2015,1
345,39,1.6y,7.2,2015,1
346,40,2.3y,7.9,2015,1
347,39,11.7y,,2015,1
348,35,1.3y,,2015,1
349,34,3.7y,7.5,2015,1
350,38,10.8y,7.4,2015,1
351,38,1.6y,,2015,1
352,32,3482.2w,,2015,1
353,40,3539.7w,,2015,1
354,40,2.2y,,2015,1
355,38,1.5y,,2015,1
356,42,2.0y,7.8,2015,1
357,31,8005.1w,,2015,1
358,40,3.5y,,2015,1
359,41,2.0y,,2015,1
360,40,5.4y,,2015,1
361,30,3.4y,7.9,2015,1
362,30,4575.5w,,2015,1
363,36,1.0y,7.3,2015,1
364,38,8.6y,8.6,2015,1
365,,328.2w,7.6,2015,1
366,,1182.2w,7.8,2015,1
367,,2688.5w,7.4,2015,1
368,,530.6w,8.6,2015,1
369,,1012.2w,7.4,2015,1
370,,6897.3w,7.4,2015,1
371,,199.6w,7.3,2015,1
372,54,3402.5w,7.4,2014,1
373,55,6.4y,,2014,1
374,37,8300.3w,,2014,1
375,32,2.1y,6.6,2014,1
376,24,2157.4w,7.3,2014,1
377,37,2.2y,6.4,2014,1
378,30,1010.4w,7.3,2014,1
379,10,1221.1w,,2014,1
380,35,1.1y,6.7,2014,1
381,36,3.0y,,2014,1
382,32,1.4y,8.2,2014,1
383,30,2.3y,8,2014,1
384,35,1260.0w,6,2014,1
385,34,3567.2w,,2014,1
386,46,9848.3w,7.4,2014,1
387,36,8351.4w,,2014,1
388,75,9584.1w,6,2014,1
389,68,13.1y,6.1,2014,1
390,36,5683.0w,,2014,1
391,36,2458.0w,,2014,1
392,,352.0w,7.2,2014,1
393,38,1.0y,7.4,2014,1
394,40,2601.1w,7.7,2014,1
395,38,3.4y,7.9,2014,1
396,49,3.6y,,2014,1
