status,play number,score,year,topic
45,13.3y,7.9,2021,0
31,7339.1w,7.7,2021,0
48,4.0y,9.2,2021,0
36,19.2y,9.4,2021,0
34,1.8y,7.7,2021,0
32,4473.3w,7.6,2021,0
37,1.1y,7.6,2021,0
24,9211.1w,7.6,2021,0
35,7348.3w,7.5,2021,0
20,2216.3w,7.5,2021,0
23,4.9y,9.4,2021,0
40,8.1y,7.5,2021,0
36,6332.4w,7.5,2021,0
33,5478.2w,7.5,2021,0
31,8491.6w,7.5,2021,0
48,1.3y,7.5,2021,0
36,2370.3w,7.5,2021,0
40,2.2y,7.5,2021,0
35,4702.2w,7.5,2021,0
38,4991.9w,7.5,2021,0
40,5765.4w,7.5,2021,0
34,4770.2w,7.5,2021,0
31,2549.8w,7.4,2021,0
46,1.0y,7.4,2021,0
12,958.8w,7.4,2021,0
45,6707.0w,7.4,2021,0
6,2194.0w,7.5,2021,0
40,5426.2w,7.4,2021,0
30,909.4w,7.4,2021,0
12,188.5w,7.3,2021,0
39,10.7y,9.3,2020,0
32,3.0y,7.6,2020,0
46,2.8y,7.5,2020,0
30,1.5y,7.5,2020,0
20,6.8y,8.9,2020,0
42,6.9y,7.5,2020,0
14,3.6y,7.8,2020,0
34,7913.8w,7.5,2020,0
40,7.4y,7.5,2020,0
36,5330.2w,7.5,2020,0
45,1.0y,7.5,2020,0
42,1.9y,7.5,2020,0
36,6204.4w,7.5,2020,0
20,2563.1w,7.4,2020,0
34,7671.3w,7.5,2020,0
31,5736.8w,7.5,2020,0
42,4975.2w,7.5,2020,0
31,6601.1w,7.5,2020,0
34,3910.0w,7.4,2020,0
34,5784.7w,7.4,2020,0
43,3859.4w,7.4,2020,0
36,3186.4w,7.4,2020,0
30,2141.2w,7.4,2020,0
36,1.4y,7.4,2020,0
20,2565.0w,7.4,2020,0
8,230.9w,7.3,2020,0
48,2.2y,7.5,2019,0
42,2.1y,,2019,0
48,4.8y,8.8,2019,0
37,1.4y,8.6,2019,0
46,8.9y,8.4,2019,0
36,4.4y,,2019,0
36,3.4y,7.3,2019,0
39,1.7y,8.5,2019,0
42,1.5y,7.5,2019,0
54,14.7y,8.1,2019,0
40,1.8y,8.6,2019,0
49,5.4y,7.2,2019,0
